year,municipality,total_cases
2013,"PUEBLO NUEVO VIÑAS",11
2013,"PUERTO BARRIOS",525
2013,"PUERTO DE SAN JOSÉ",112
2013,"PURULHÁ",1
2013,QUETZALTEPEQUE,21
2013,QUEZADA,15
2013,RABINAL,9
2013,RAXRUHA,17
2013,RETALHULEU,222
2013,"RÍO BRAVO",15
2013,"RÍO HONDO",25
2013,"SALAMÁ",42
2013,SAMAYAC,22
2013,"SAN AGUSTÍN ACASAGUASTLÁN",3
2013,"SAN ANDRÉS",2
2013,"SAN ANDRÉS VILLA SECA",134
2013,"SAN ANDRÉS XECUL",1
2013,"SAN ANTONIO AGUAS CALIENTES",31
2013,"SAN ANTONIO HUISTA",51
2013,"SAN ANTONIO LA PAZ",47
2013,"SAN ANTONIO SUCHITEPÉQUEZ",8
2013,"SAN BARTOLOMÉ JOCOTENANGO",2
2013,"SAN BENITO",34
2013,"SAN BERNARDINO",10
2013,"SAN CARLOS ALZATATE",2
2013,"SAN CRISTÓBAL ACASAGUASTLÁN",23
2013,"SAN CRISTÓBAL VERAPAZ",35
2013,"SAN DIEGO",38
2013,"SAN FELIPE",21
2013,"SAN FRANCISCO ZAPOTITLÁN",4
2013,"SAN GABRIEL",2
2013,"SAN JACINTO",2
2013,"SAN JERÓNIMO",117
2013,"SAN JORGE",13
2013,"SAN JOSÉ",22
2013,"SAN JOSÉ ACATEMPA",17
2013,"SAN JOSÉ DEL GOLFO",164
2013,"SAN JOSÉ EL IDOLO",7
2013,"SAN JOSÉ LA ARADA",25
2013,"SAN JOSÉ PINULA",1
2013,"SAN JOSÉ POAQUIL",7
2013,"SAN JUAN ATITÁN",1
2013,"SAN JUAN BAUTISTA",11
2013,"SAN JUAN CHAMELCO",1
2013,"SAN JUAN LA ERMITA",12
2013,"SAN JUAN LA LAGUNA",1
2013,"SAN JUAN SACATEPÉQUEZ",9
2013,"SAN JUAN TECUACO",11
2013,"SAN LORENZO",34
2013,"SAN LUCAS SACATEPÉQUEZ",1
2013,"SAN LUCAS TOLIMÁN",14
2013,"SAN LUIS",113
2013,"SAN LUIS JILOTEPEQUE",60
2013,"SAN MANUEL CHAPARRÓN",11
2013,"SAN MARCOS",4
2013,"SAN MARTÍN JILOTEPEQUE",5
2013,"SAN MARTÍN ZAPOTITLÁN",24
2013,"SAN MIGUEL CHICAJ",23
2013,"SAN MIGUEL DUEÑAS",7
2013,"SAN MIGUEL PETAPA",136
2013,"SAN MIGUEL USPANTÁN",1
2013,"SAN PABLO",11
2013,"SAN PABLO JOCOPILAS",11
2013,"SAN PEDRO AYAMPUC",50
2013,"SAN PEDRO CARCHÁ",24
2013,"SAN PEDRO NECTA",8
2013,"SAN PEDRO PINULA",9
2013,"SAN RAFAEL LAS FLORES",125
2013,"SAN RAFAEL PIÉ DE LA CUESTA",6
2013,"SAN SEBASTIÁN",35
2013,"SAN SEBASTIÁN HUEHUETENANGO",1
2013,"SAN VICENTE PACAYA",21
2013,SANARATE,16
2013,SANSARE,3
2013,"SANTA ANA",49
2013,"SANTA ANA HUISTA",36
2013,"SANTA BÁRBARA",5
2013,"SANTA CATARINA BARAHONA",22
2013,"SANTA CATARINA IXTAHUACÁN",14
2013,"SANTA CATARINA MITA",10
2013,"SANTA CATARINA PINULA",22
2013,"SANTA CRUZ DEL QUICHÉ",1
2013,"SANTA CRUZ MULÚA",25
2013,"SANTA CRUZ NARANJO",32
2013,"SANTA LUCÍA COTZUMALGUAPA",22
2013,"SANTA MARÍA DE JESÚS",1
2013,"SANTA MARÍA IXHUATÁN",2
2013,"SANTA ROSA DE LIMA",104
2013,"SANTO DOMINGO SUCHITEPÉQUEZ",16
2013,"SANTO TOMÁS LA UNIÓN",17
2013,"SAYAXCHÉ",128
2013,"SENAHÚ",4
2013,"SIQUINALÁ",19
2013,"SOLOLÁ",1
2013,SUMPANGO,1
2013,TACTIC,5
2013,"TAMAHÚ",1
2013,TAXISCO,11
2013,"TECULUTÁN",175
2013,TIQUISATE,178
2013,"TUCURÚ",4
2013,"USUMATLÁN",34
2013,"VILLA CANALES",69
2013,"VILLA NUEVA",371
2013,YEPOCAPA,8
2013,YUPILTEPEQUE,4
2013,ZACAPA,626
2013,ZUNILITO,3
2014,"AGUA BLANCA",5
2014,ALOTENANGO,48
2014,"AMATITLÁN",303
2014,"ANTIGUA GUATEMALA",1065
2014,"ASUNCIÓN MITA",34
2014,ATESCATEMPA,2
2014,AYUTLA,819
2014,BARBERENA,578
2014,"CABAÑAS",16
2014,"CAHABÓN",24
2014,"CAMOTÁN",31
2014,CASILLAS,24
2014,CATARINA,40
2014,CHAHAL,14
2014,CHAMPERICO,22
2014,CHICACAO,10
2014,CHICHICASTENANGO,2
2014,"CHICHÉ",4
2014,CHINAUTLA,10
2014,CHIQUIMULA,310
2014,CHIQUIMULILLA,242
2014,CHUARRANCHO,7
2014,"CIUDAD VIEJA",21
2014,COATEPEQUE,1883
2014,"COBÁN",129
2014,COLOMBA,116
2014,COMAPA,16
2014,"CONCEPCIÓN LAS MINAS",12
2014,CONGUACO,1
2014,CUBULCO,32
2014,CUILAPA,316
2014,CUYOTENANGO,64
2014,DOLORES,19
2014,"EL ASINTAL",74
2014,"EL CHAL",46
2014,"EL CHOL",1
2014,"EL ESTOR",29
2014,"EL JÍCARO",462
2014,"EL PALMAR",242
2014,"EL PROGRESO",6
2014,"EL QUETZAL",67
2014,"EL RODEO",6
2014,"EL TUMBADOR",77
2014,ESCUINTLA,1077
2014,ESQUIPULAS,20
2014,ESTANZUELA,189
2014,FLORES,11
2014,"FLORES COSTA CUCA",100
2014,"FRAY BARTOLOMÉ DE LAS CASAS",65
2014,GRANADOS,7
2014,"GUALÁN",137
2014,GUANAGAZAPA,23
2014,GUASTATOYA,255
2014,GUATEMALA,2048
2014,"GUAZACAPÁN",18
2014,"GÉNOVA",223
2014,HUEHUETENANGO,1
2014,"HUITÉ",25
2014,IPALA,5
2014,"IXCÁN",105
2014,IZTAPA,34
2014,JACALTENANGO,9
2014,JALAPA,151
2014,JALPATAGUA,87
2014,JEREZ,11
2014,JOCOTENANGO,13
2014,"JOCOTÁN",65
2014,JUTIAPA,210
2014,"LA DEMOCRACIA",55
2014,"LA GOMERA",109
2014,"LA LIBERTAD",15
2014,"LA REFORMA",1
2014,"LANQUÍN",4
2014,"LAS CRUCES",1
2014,LIVINGSTON,96
2014,"LOS AMATES",55
2014,"MALACATÁN",79
2014,MASAGUA,79
2014,MATAQUESCUINTLA,1
2014,MAZATENANGO,57
2014,"MELCHOR DE MENCOS",4
2014,MIXCO,681
2014,MOMOSTENANGO,2
2014,MONJAS,1
2014,MORALES,74
2014,"MORAZÁN",38
2014,MOYUTA,16
2014,"NAHUALÁ",8
2014,"NENTÓN",4
2014,"NUEVA CONCEPCIÓN",131
2014,"NUEVA SANTA ROSA",178
2014,"NUEVO PROGRESO",36
2014,"NUEVO SAN CARLOS",14
2014,"OCÓS",71
2014,OLOPA,4
2014,ORATORIO,11
2014,PAJAPITA,100
2014,PALENCIA,7
2014,"PALÍN",103
2014,PANAJACHEL,5
2014,PASTORES,5
2014,PATULUL,25
2014,"PATZITÉ",3
2014,POCHUTA,3
2014,"POPTÚN",41
2014,"PUEBLO NUEVO SUCHITEPÉQUEZ",8
2014,"PUEBLO NUEVO VIÑAS",24
2014,"PUERTO BARRIOS",694
2014,"PUERTO DE SAN JOSÉ",55
2014,"PURULHÁ",2
2014,QUETZALTENANGO,4
2014,QUETZALTEPEQUE,10
2014,QUEZADA,3
2014,RABINAL,16
2014,RAXRUHA,2
2014,RETALHULEU,788
2014,"RÍO BRAVO",54
2014,"RÍO HONDO",19
2014,"SALAMÁ",183
2014,SAMAYAC,10
2014,"SAN AGUSTÍN ACASAGUASTLÁN",64
2014,"SAN ANDRÉS",10
2014,"SAN ANDRÉS VILLA SECA",336
2014,"SAN ANTONIO AGUAS CALIENTES",6
2014,"SAN ANTONIO HUISTA",7
2014,"SAN ANTONIO LA PAZ",11
2014,"SAN ANTONIO SUCHITEPÉQUEZ",82
2014,"SAN BARTOLO",1
2014,"SAN BARTOLOMÉ JOCOTENANGO",1
2014,"SAN BENITO",1
2014,"SAN BERNARDINO",19
2014,"SAN CRISTÓBAL ACASAGUASTLÁN",27
2014,"SAN CRISTÓBAL VERAPAZ",8
2014,"SAN DIEGO",5
2014,"SAN FELIPE",18
2014,"SAN FRANCISCO",22
2014,"SAN FRANCISCO ZAPOTITLÁN",3
2014,"SAN GABRIEL",55
2014,"SAN JACINTO",7
2014,"SAN JERÓNIMO",28
2014,"SAN JORGE",49
2014,"SAN JOSÉ",11
2014,"SAN JOSÉ ACATEMPA",18
2014,"SAN JOSÉ DEL GOLFO",60
2014,"SAN JOSÉ EL IDOLO",5
2014,"SAN JOSÉ LA ARADA",49
2014,"SAN JOSÉ PINULA",2
2014,"SAN JUAN BAUTISTA",7
2014,"SAN JUAN LA ERMITA",5
2014,"SAN JUAN OSTUNCALCO",1
2014,"SAN JUAN SACATEPÉQUEZ",30
2014,"SAN JUAN TECUACO",2
2014,"SAN LORENZO",11
2014,"SAN LUCAS TOLIMÁN",7
2014,"SAN LUIS",10
2014,"SAN LUIS JILOTEPEQUE",9
2014,"SAN MANUEL CHAPARRÓN",6
2014,"SAN MARCOS",23
2014,"SAN MARTÍN JILOTEPEQUE",3
2014,"SAN MARTÍN ZAPOTITLÁN",11
2014,"SAN MIGUEL CHICAJ",14
2014,"SAN MIGUEL DUEÑAS",33
2014,"SAN MIGUEL PANÁN",4
2014,"SAN MIGUEL PETAPA",148
2014,"SAN MIGUEL SIGÜILÁ",1
2014,"SAN PABLO",14
2014,"SAN PABLO JOCOPILAS",8
2014,"SAN PEDRO AYAMPUC",3
2014,"SAN PEDRO CARCHÁ",2
2014,"SAN PEDRO LA LAGUNA",5
2014,"SAN PEDRO NECTA",2
2014,"SAN PEDRO PINULA",17
2014,"SAN PEDRO SACATEPÉQUEZ",4
2014,"SAN RAFAEL LAS FLORES",36
2014,"SAN RAYMUNDO",5
2014,"SAN SEBASTIÁN",33
2014,"SAN VICENTE PACAYA",39
2014,SANARATE,7
2014,SANSARE,6
2014,"SANTA ANA",20
2014,"SANTA ANA HUISTA",8
2014,"SANTA BÁRBARA",2
2014,"SANTA CATARINA BARAHONA",8
2014,"SANTA CATARINA IXTAHUACÁN",36
2014,"SANTA CATARINA MITA",10
2014,"SANTA CRUZ DEL QUICHÉ",1
2014,"SANTA CRUZ MULÚA",13
2014,"SANTA CRUZ NARANJO",2
2014,"SANTA CRUZ VERAPAZ",26
2014,"SANTA LUCÍA COTZUMALGUAPA",34
2014,"SANTA LUCÍA MILPAS ALTAS",3
2014,"SANTA LUCÍA UTATLÁN",1
2014,"SANTA MARÍA CHIQUIMULA",1
2014,"SANTA MARÍA IXHUATÁN",10
2014,"SANTA MARÍA VISITACIÓN",1
2014,"SANTA ROSA DE LIMA",87
2014,"SANTO DOMINGO SUCHITEPÉQUEZ",13
2014,"SANTO TOMÁS LA UNIÓN",39
2014,"SAYAXCHÉ",17
2014,SIBINAL,2
2014,"SIQUINALÁ",37
2014,"TAMAHÚ",4
2014,TAXISCO,41
2014,"TECULUTÁN",78
2014,TIQUISATE,281
2014,"USUMATLÁN",60
2014,"VILLA CANALES",191
2014,"VILLA NUEVA",357
2014,YEPOCAPA,10
