year,municipality,department,total_cases
2012,"SANTA ROSA DE LIMA","SANTA ROSA",1
2012,"SANTA CATARINA IXTAHUACÁN",SOLOLA,1
2012,SACAPULAS,QUICHE,1
2012,"LANQUÍN","ALTA VERAPAZ",1
2012,YUPILTEPEQUE,JUTIAPA,1
2012,"EL RODEO","SAN MARCOS",1
2012,"SANTA BÁRBARA",SUCHITEPEQUEZ,1
2012,PANAJACHEL,SOLOLA,1
2012,MONJAS,JALAPA,1
2012,SANSARE,"EL PROGRESO",1
2012,"SAN BARTOLOMÉ JOCOTENANGO",QUICHE,1
2012,"SAN RAFAEL PIÉ DE LA CUESTA","SAN MARCOS",1
2012,"SAN BERNARDINO",SUCHITEPEQUEZ,1
2012,ZUNILITO,SUCHITEPEQUEZ,1
2012,"SAN MIGUEL DUEÑAS",SACATEPEQUEZ,1
2012,"SAN ANDRÉS ITZAPA",CHIMALTENANGO,1
2012,"SAN JOSÉ POAQUIL",CHIMALTENANGO,1
2012,"SAN MIGUEL IXTAHUACÁN","SAN MARCOS",1
2012,TEJUTLA,"SAN MARCOS",1
2012,"SAN PEDRO SACATEPÉQUEZ","SAN MARCOS",1
2013,"AMATITLÁN",GUATEMALA,728
2013,ZACAPA,ZACAPA,626
2013,COATEPEQUE,QUETZALTENANGO,547
2013,"PUERTO BARRIOS",IZABAL,525
2013,GUATEMALA,GUATEMALA,512
2013,JUTIAPA,JUTIAPA,407
2013,"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",387
2013,"VILLA NUEVA",GUATEMALA,371
2013,MIXCO,GUATEMALA,334
2013,"POPTÚN","EL PETEN",306
2013,ESCUINTLA,ESCUINTLA,279
2013,"IXCÁN",QUICHE,234
2013,RETALHULEU,RETALHULEU,222
2013,CUILAPA,"SANTA ROSA",199
2013,JALPATAGUA,JUTIAPA,196
2013,"EL ESTOR",IZABAL,189
2013,"ANTIGUA GUATEMALA",SACATEPEQUEZ,181
2013,TIQUISATE,ESCUINTLA,178
2013,CHIQUIMULA,CHIQUIMULA,175
2013,"TECULUTÁN",ZACAPA,175
2013,"SAN JOSÉ DEL GOLFO",GUATEMALA,164
2013,"EL TUMBADOR","SAN MARCOS",154
2013,"SAN MIGUEL PETAPA",GUATEMALA,136
2013,"COBÁN","ALTA VERAPAZ",135
2013,"SAN ANDRÉS VILLA SECA",RETALHULEU,134
2013,"SAYAXCHÉ","EL PETEN",128
